PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,PLAYER,FANTASY_PTS,OVERALL_RANK
543.0,348.3,3748.3,22.9,9.7,22.4,80.6,0.4,2.8,237.0,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Rodgers PIT,226.99,34
0.0,0.0,0.0,0.0,0.0,284.2,1211.8,11.3,1.5,226.1,RB,2025-08-14 15:04:27,38.1,316.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Josh Jacobs GB,226.58,35
0.0,0.0,0.0,0.0,0.0,223.3,1032.9,7.8,1.3,223.1,RB,2025-08-14 15:04:27,69.5,513.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,De'Von Achane MIA,223.46,36
0.0,0.0,0.0,0.0,0.0,273.0,1204.0,9.0,2.4,217.4,RB,2025-08-14 15:04:27,46.3,366.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashton Jeanty LV,217.63,37
0.0,0.0,0.0,0.0,0.0,297.7,1359.2,9.6,1.6,216.5,RB,2025-08-14 15:04:27,25.7,194.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonathan Taylor IND,216.36,38
0.0,0.0,0.0,0.0,0.0,275.7,1192.4,11.2,2.3,213.0,RB,2025-08-14 15:04:27,33.7,213.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kyren Williams LAR,213.42,39
0.0,0.0,0.0,0.0,0.0,0.5,2.2,0.0,0.6,205.1,WR,2025-08-14 15:04:30,106.4,1478.9,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Justin Jefferson MIN,205.11,40
0.0,0.0,0.0,0.0,0.0,234.7,1110.7,8.3,1.4,202.5,RB,2025-08-14 15:04:27,44.4,343.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bucky Irving TB,202.6,41
0.0,0.0,0.0,0.0,0.0,222.0,1049.7,9.5,1.4,196.1,RB,2025-08-14 15:04:27,31.4,258.5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,James Cook BUF,196.42,42
0.0,0.0,0.0,0.0,0.0,234.6,984.0,7.8,1.4,196.3,RB,2025-08-14 15:04:27,54.0,377.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chase Brown CIN,196.35,43
