UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FANTASY_PTS
Noah Brown WAS,,,,,,0.0,0.0,0.0,0.1,51.8,WR,2025-08-14 15:04:30,31.8,406.4,1.9,,,,,,,,,,,,,,51.839999999999996
Khalil Herbert IND,,,,,,84.6,325.0,2.1,0.0,51.8,RB,2025-08-14 15:04:27,8.3,54.0,0.2,,,,,,,,,,,,,,51.7
Christian Watson GB,,,,,,4.3,17.0,0.0,0.4,51.6,WR,2025-08-14 15:04:30,19.9,366.6,2.3,,,,,,,,,,,,,,51.36000000000001
Noah Fant CIN,,,,,,,,,0.1,51.6,TE,2025-08-14 15:04:33,36.2,370.6,2.4,,,,,,,,,,,,,,51.26
Ja'Tavion Sanders CAR,,,,,,,,,0.1,51.1,TE,2025-08-14 15:04:33,38.5,388.4,2.1,,,,,,,,,,,,,,51.24
Russell Gage Jr. SF,,,,,,0.0,0.0,0.0,0.0,51.0,WR,2025-08-14 15:04:30,31.4,360.9,2.5,,,,,,,,,,,,,,51.089999999999996
Troy Franklin DEN,,,,,,1.1,5.8,0.0,0.1,50.9,WR,2025-08-14 15:04:30,27.2,342.5,2.7,,,,,,,,,,,,,,50.83
Tyler Conklin LAC,,,,,,,,,0.1,49.9,TE,2025-08-14 15:04:33,36.4,352.8,2.5,,,,,,,,,,,,,,50.08
Jaylin Noel HOU,,,,,,0.0,13.0,0.0,0.1,47.6,WR,2025-08-14 15:04:30,27.2,326.9,2.3,,,,,,,,,,,,,,47.58999999999999
Elic Ayomanor TEN,,,,,,0.0,7.5,0.0,0.1,47.4,WR,2025-08-14 15:04:30,28.6,336.3,2.2,,,,,,,,,,,,,,47.38
K.J. Osborn WAS,,,,,,0.0,0.0,0.0,0.0,46.9,WR,2025-08-14 15:04:30,28.7,318.8,2.5,,,,,,,,,,,,,,46.88
Curtis Samuel BUF,,,,,,6.6,29.3,0.1,0.1,45.4,WR,2025-08-14 15:04:30,27.0,271.6,2.5,,,,,,,,,,,,,,45.49
Dillon Gabriel CLE,126.3,79.1,754.2,3.6,2.5,11.5,43.1,0.4,0.8,47.6,QB,2025-08-14 15:04:24,,,,,,,,,,,,,,,,,44.678000000000004
AJ Barner SEA,,,,,,,,,0.1,44.3,TE,2025-08-14 15:04:33,32.4,302.7,2.4,,,,,,,,,,,,,,44.47
Noah Gray KC,,,,,,,,,0.0,44.0,TE,2025-08-14 15:04:33,28.2,286.0,2.6,,,,,,,,,,,,,,44.2
Anthony Miller BAL,,,,,,0.0,0.0,0.0,0.0,44.1,WR,2025-08-14 15:04:30,25.3,289.5,2.5,,,,,,,,,,,,,,43.95
Jarquez Hunter LAR,,,,,,57.1,245.0,1.9,0.7,43.9,RB,2025-08-14 15:04:27,8.5,69.0,0.4,,,,,,,,,,,,,,43.8
Antonio Gibson NE,,,,,,51.5,209.5,1.0,0.0,42.4,RB,2025-08-14 15:04:27,15.8,127.1,0.5,,,,,,,,,,,,,,42.660000000000004
Kayshon Boutte NE,,,,,,0.0,0.0,0.0,0.0,41.9,WR,2025-08-14 15:04:30,22.5,301.5,2.0,,,,,,,,,,,,,,42.150000000000006
Elijah Mitchell KC,,,,,,62.5,235.9,1.9,0.1,42.2,RB,2025-08-14 15:04:27,8.5,49.6,0.4,,,,,,,,,,,,,,42.15
Cole Kmet CHI,,,,,,,,,0.4,41.7,TE,2025-08-14 15:04:33,30.0,288.7,2.3,,,,,,,,,,,,,,41.870000000000005
Greg Dortch ARI,,,,,,4.8,30.6,0.1,0.4,41.8,WR,2025-08-14 15:04:30,27.1,269.3,2.0,,,,,,,,,,,,,,41.790000000000006
Van Jefferson TEN,,,,,,0.0,0.0,0.0,0.1,41.0,WR,2025-08-14 15:04:30,23.5,300.5,1.9,,,,,,,,,,,,,,41.25
Ja'Lynn Polk NE,,,,,,0.0,0.0,0.0,0.0,40.8,WR,2025-08-14 15:04:30,24.7,299.1,1.8,,,,,,,,,,,,,,40.71000000000001
Malik Washington MIA,,,,,,2.0,13.8,0.1,0.6,40.4,WR,2025-08-14 15:04:30,27.5,289.0,1.8,,,,,,,,,,,,,,40.480000000000004
Devaughn Vele DEN,,,,,,0.0,1.7,0.0,0.1,40.1,WR,2025-08-14 15:04:30,24.9,275.3,2.1,,,,,,,,,,,,,,40.1
Roman Wilson PIT,,,,,,0.0,0.0,0.0,0.1,39.0,WR,2025-08-14 15:04:30,21.8,276.7,1.9,,,,,,,,,,,,,,38.87
Shedeur Sanders CLE,112.0,68.0,667.2,3.3,2.6,13.8,41.5,0.2,0.7,40.8,QB,2025-08-14 15:04:24,,,,,,,,,,,,,,,,,38.638000000000005
Devin Singletary NYG,,,,,,51.8,234.9,1.5,0.4,39.0,RB,2025-08-14 15:04:27,9.4,63.3,0.1,,,,,,,,,,,,,,38.620000000000005
Trevor Etienne CAR,,,,,,47.8,191.3,1.5,0.4,38.3,RB,2025-08-14 15:04:27,10.7,86.8,0.4,,,,,,,,,,,,,,38.410000000000004
Tahj Brooks CIN,,,,,,24.9,225.4,1.9,0.6,38.0,RB,2025-08-14 15:04:27,6.7,48.2,0.1,,,,,,,,,,,,,,38.16
Kenneth Gainwell PIT,,,,,,53.9,196.5,1.3,0.4,37.7,RB,2025-08-14 15:04:27,12.5,88.6,0.4,,,,,,,,,,,,,,37.910000000000004
Tim Patrick DET,,,,,,0.0,0.0,0.0,0.1,37.6,WR,2025-08-14 15:04:30,20.5,258.2,2.0,,,,,,,,,,,,,,37.62
Foster Moreau NO,,,,,,,,,0.1,37.2,TE,2025-08-14 15:04:33,23.0,259.9,1.9,,,,,,,,,,,,,,37.19
Demarcus Robinson SF,,,,,,0.0,1.0,0.0,0.1,37.1,WR,2025-08-14 15:04:30,15.8,251.1,2.0,,,,,,,,,,,,,,37.01
Skyy Moore KC,,,,,,0.0,0.0,0.0,0.0,36.6,WR,2025-08-14 15:04:30,22.3,267.4,1.7,,,,,,,,,,,,,,36.94
Parker Washington JAC,,,,,,0.0,8.5,0.0,0.1,36.3,WR,2025-08-14 15:04:30,24.7,261.7,1.6,,,,,,,,,,,,,,36.42
KaVontae Turpin DAL,,,,,,8.5,58.6,0.5,0.7,36.3,WR,2025-08-14 15:04:30,16.8,204.0,1.4,,,,,,,,,,,,,,36.26
Will Shipley PHI,,,,,,37.4,199.4,1.3,0.1,36.2,RB,2025-08-14 15:04:27,8.3,61.8,0.4,,,,,,,,,,,,,,36.12
Jermaine Burton CIN,,,,,,0.0,2.0,0.0,0.1,35.7,WR,2025-08-14 15:04:30,18.1,239.8,2.0,,,,,,,,,,,,,,35.980000000000004
Sean Tucker TB,,,,,,44.8,231.4,1.4,0.7,36.1,RB,2025-08-14 15:04:27,5.1,40.1,0.3,,,,,,,,,,,,,,35.949999999999996
Devin Neal NO,,,,,,38.8,204.6,1.3,0.1,35.9,RB,2025-08-14 15:04:27,7.3,54.5,0.4,,,,,,,,,,,,,,35.91
Emanuel Wilson GB,,,,,,41.9,202.7,1.4,0.3,35.6,RB,2025-08-14 15:04:27,7.4,53.9,0.4,,,,,,,,,,,,,,35.86
Austin Hooper NE,,,,,,,,,0.4,35.6,TE,2025-08-14 15:04:33,26.6,263.0,1.7,,,,,,,,,,,,,,35.7
