UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Troy Franklin DEN,27.2,342.5,2.7,1.1,5.8,0.0,0.1,50.9,WR,2025-08-14 15:04:30
Jaylin Noel HOU,27.2,326.9,2.3,0.0,13.0,0.0,0.1,47.6,WR,2025-08-14 15:04:30
Elic Ayomanor TEN,28.6,336.3,2.2,0.0,7.5,0.0,0.1,47.4,WR,2025-08-14 15:04:30
K.J. Osborn WAS,28.7,318.8,2.5,0.0,0.0,0.0,0.0,46.9,WR,2025-08-14 15:04:30
Curtis Samuel BUF,27.0,271.6,2.5,6.6,29.3,0.1,0.1,45.4,WR,2025-08-14 15:04:30
Anthony Miller BAL,25.3,289.5,2.5,0.0,0.0,0.0,0.0,44.1,WR,2025-08-14 15:04:30
Kayshon Boutte NE,22.5,301.5,2.0,0.0,0.0,0.0,0.0,41.9,WR,2025-08-14 15:04:30
Greg Dortch ARI,27.1,269.3,2.0,4.8,30.6,0.1,0.4,41.8,WR,2025-08-14 15:04:30
Van Jefferson TEN,23.5,300.5,1.9,0.0,0.0,0.0,0.1,41.0,WR,2025-08-14 15:04:30
Ja'Lynn Polk NE,24.7,299.1,1.8,0.0,0.0,0.0,0.0,40.8,WR,2025-08-14 15:04:30
Malik Washington MIA,27.5,289.0,1.8,2.0,13.8,0.1,0.6,40.4,WR,2025-08-14 15:04:30
Devaughn Vele DEN,24.9,275.3,2.1,0.0,1.7,0.0,0.1,40.1,WR,2025-08-14 15:04:30
Roman Wilson PIT,21.8,276.7,1.9,0.0,0.0,0.0,0.1,39.0,WR,2025-08-14 15:04:30
Tim Patrick DET,20.5,258.2,2.0,0.0,0.0,0.0,0.1,37.6,WR,2025-08-14 15:04:30
Demarcus Robinson SF,15.8,251.1,2.0,0.0,1.0,0.0,0.1,37.1,WR,2025-08-14 15:04:30
Skyy Moore KC,22.3,267.4,1.7,0.0,0.0,0.0,0.0,36.6,WR,2025-08-14 15:04:30
KaVontae Turpin DAL,16.8,204.0,1.4,8.5,58.6,0.5,0.7,36.3,WR,2025-08-14 15:04:30
Parker Washington JAC,24.7,261.7,1.6,0.0,8.5,0.0,0.1,36.3,WR,2025-08-14 15:04:30
Jermaine Burton CIN,18.1,239.8,2.0,0.0,2.0,0.0,0.1,35.7,WR,2025-08-14 15:04:30
Chimere Dike TEN,18.9,246.0,1.6,2.1,8.9,0.0,0.1,35.1,WR,2025-08-14 15:04:30
Tai Felton MIN,18.3,221.1,1.7,0.0,3.7,0.0,0.0,32.6,WR,2025-08-14 15:04:30
Tyler Johnson NYJ,19.7,207.2,1.5,0.0,0.0,0.0,0.0,29.9,WR,2025-08-14 15:04:30
JuJu Smith-Schuster KC,19.4,211.1,1.5,0.0,0.0,0.0,0.1,29.8,WR,2025-08-14 15:04:30
