UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN
Jordan Mason MIN,,,,,,163.9,754.4,4.4,0.7,117.8,RB,2025-08-14 15:04:27,17.6,128.1,0.7,,,,,,,,,,,,,
Javonte Williams DAL,,,,,,174.9,645.7,4.2,0.9,117.5,RB,2025-08-14 15:04:27,35.9,229.5,1.1,,,,,,,,,,,,,
Rhamondre Stevenson NE,,,,,,156.7,636.8,4.8,1.5,113.5,RB,2025-08-14 15:04:27,28.0,177.2,1.1,,,,,,,,,,,,,
Travis Etienne Jr. JAC,,,,,,141.1,577.1,3.7,0.9,112.7,RB,2025-08-14 15:04:27,37.7,279.0,1.2,,,,,,,,,,,,,
Austin Ekeler WAS,,,,,,95.3,414.8,4.1,1.0,111.2,RB,2025-08-14 15:04:27,44.9,367.1,1.8,,,,,,,,,,,,,
Zach Charbonnet SEA,,,,,,126.7,536.0,4.5,0.8,108.8,RB,2025-08-14 15:04:27,33.2,244.8,0.9,,,,,,,,,,,,,
Quinshon Judkins CLE,,,,,,151.5,640.4,4.1,1.2,108.1,RB,2025-08-14 15:04:27,22.4,168.4,0.9,,,,,,,,,,,,,
Najee Harris LAC,,,,,,141.4,567.3,5.0,0.8,105.8,RB,2025-08-14 15:04:27,22.0,159.5,0.8,,,,,,,,,,,,,
Rachaad White TB,,,,,,114.5,462.5,2.8,1.3,101.7,RB,2025-08-14 15:04:27,37.6,282.9,2.1,,,,,,,,,,,,,
Tyjae Spears TEN,,,,,,124.6,498.2,3.7,0.9,101.3,RB,2025-08-14 15:04:27,33.6,251.9,1.0,,,,,,,,,,,,,
Cam Skattebo NYG,,,,,,129.4,555.6,3.6,1.2,99.3,RB,2025-08-14 15:04:27,24.8,190.7,0.9,,,,,,,,,,,,,
Tank Bigsby JAC,,,,,,151.8,612.8,5.0,1.2,98.2,RB,2025-08-14 15:04:27,11.2,81.6,0.2,,,,,,,,,,,,,
Trey Benson ARI,,,,,,138.1,600.5,3.9,0.9,95.5,RB,2025-08-14 15:04:27,13.9,104.7,0.5,,,,,,,,,,,,,
Jerome Ford CLE,,,,,,120.0,511.5,2.8,0.8,91.1,RB,2025-08-14 15:04:27,28.4,192.5,0.9,,,,,,,,,,,,,
Jaylen Wright MIA,,,,,,134.7,565.2,3.7,1.5,88.9,RB,2025-08-14 15:04:27,14.6,100.5,0.6,,,,,,,,,,,,,
Ray Davis BUF,,,,,,118.8,499.5,3.7,0.8,87.1,RB,2025-08-14 15:04:27,12.4,105.5,1.0,,,,,,,,,,,,,
Dylan Sampson CLE,,,,,,118.7,480.9,2.7,0.8,85.9,RB,2025-08-14 15:04:27,23.3,177.5,0.9,,,,,,,,,,,,,
Tyler Allgeier ATL,,,,,,119.8,549.7,3.3,0.8,84.3,RB,2025-08-14 15:04:27,12.7,92.2,0.3,,,,,,,,,,,,,
Jaydon Blue DAL,,,,,,109.2,476.9,2.9,0.8,83.2,RB,2025-08-14 15:04:27,19.3,150.7,0.8,,,,,,,,,,,,,
Isaac Guerendo SF,,,,,,113.1,488.7,3.9,0.9,81.9,RB,2025-08-14 15:04:27,10.6,93.2,0.4,,,,,,,,,,,,,
Rico Dowdle CAR,,,,,,107.3,459.1,2.6,0.8,80.9,RB,2025-08-14 15:04:27,20.9,143.0,1.1,,,,,,,,,,,,,
Nick Chubb HOU,,,,,,118.9,484.3,3.8,0.5,80.5,RB,2025-08-14 15:04:27,9.9,75.6,0.4,,,,,,,,,,,,,
Roschon Johnson CHI,,,,,,96.6,346.6,5.0,0.4,78.7,RB,2025-08-14 15:04:27,19.0,123.9,0.5,,,,,,,,,,,,,
Bhayshul Tuten JAC,,,,,,91.9,398.0,2.7,0.8,73.2,RB,2025-08-14 15:04:27,17.5,138.0,0.8,,,,,,,,,,,,,
Braelon Allen NYJ,,,,,,100.5,390.9,2.7,0.4,71.9,RB,2025-08-14 15:04:27,16.6,123.1,0.8,,,,,,,,,,,,,
MarShawn Lloyd GB,,,,,,105.6,381.4,2.9,0.8,69.2,RB,2025-08-14 15:04:27,13.5,108.5,0.7,,,,,,,,,,,,,
Kareem Hunt KC,,,,,,82.4,314.4,3.3,0.1,68.2,RB,2025-08-14 15:04:27,18.3,126.2,0.7,,,,,,,,,,,,,
Miles Sanders DAL,,,,,,93.9,404.7,2.3,0.5,64.6,RB,2025-08-14 15:04:27,12.0,77.5,0.6,,,,,,,,,,,,,
Kendre Miller NO,,,,,,95.0,365.9,3.4,0.4,64.5,RB,2025-08-14 15:04:27,9.7,72.6,0.2,,,,,,,,,,,,,
